Timestamp,Average_OAT,Humidity,UV_Index,Average_Rainfall,NT_CoolingLoad,ST_CoolingLoad,CoolingLoad
2020/4/1 0:00,,,0,0,,,
2020/4/1 0:15,19.35553333,,0,0,,,
2020/4/1 0:30,19.4047,,0,0,,,
2020/4/1 0:45,19.5197,,0,0,,,
2020/4/1 1:00,19.50553333,,0,0,,,
2020/4/1 1:15,19.4922,,0,0,,,
2020/4/1 1:30,19.5372,,0,0,193.0438929,519.6799746,712.7238675
2020/4/1 1:45,19.46636667,,0,0,205.2737676,555.5970059,760.8707735
2020/4/1 2:00,19.39386667,,0,0,210.7562236,663.5434816,874.2997053
2020/4/1 2:15,19.2297,,0,0,216.3799463,636.2837366,852.6636829
2020/4/1 2:30,19.2447,,0,0,201.7769094,611.9957411,813.7726505
2020/4/1 2:45,19.18303333,,0,0,202.6488351,608.899437,811.5482721
2020/4/1 3:00,18.99136667,,0,0,199.4471192,606.8674157,806.3145349
2020/4/1 3:15,18.96803333,,0,0,206.4427485,581.2922426,787.7349912
2020/4/1 3:30,18.93636667,,0,0,194.0618687,563.88872,757.9505887
2020/4/1 3:45,18.91886667,,0,0,196.433378,585.032993,781.4663711
2020/4/1 4:00,18.98136667,,0,0,205.1778023,596.5646463,801.7424486
2020/4/1 4:15,19.0672,,0,0,192.7896828,642.1438743,834.9335571
2020/4/1 4:30,19.0922,,0,0,202.9744242,588.1123133,791.0867375
2020/4/1 4:45,19.05303333,,0,0,188.8415263,601.5919663,790.4334926
2020/4/1 5:00,19.14136667,,0,0,201.5303846,655.7148201,857.2452047
2020/4/1 5:15,19.17886667,,0,0,202.5911986,605.2332304,807.824429
2020/4/1 5:30,19.21053333,,0,0,197.2438721,641.0964183,838.3402904
2020/4/1 5:45,19.16886667,,0,0,208.1797024,617.9180131,826.0977155
2020/4/1 6:00,19.11636667,,0,0,215.1461216,631.5331278,846.6792495
2020/4/1 6:15,19.26053333,,0,0,220.5038156,559.4769025,779.9807181
2020/4/1 6:30,19.39386667,,0,0,207.187376,621.6061488,828.7935248
2020/4/1 6:45,19.3497,,0,0,207.9881712,630.513137,838.5013081
2020/4/1 7:00,19.1947,,0,0,169.2070327,668.9456976,838.1527304
2020/4/1 7:15,19.25053333,,0,0,227.6872014,823.6446661,1051.331868
